buyer_name_raw,buyer_name_canonical
Ministry of Defence,Ministry of Defence
MINISTRY OF DEFENCE,Ministry of Defence
Environment Agency,EA
ENVIRONMENT AGENCY,EA
EA,EA
Liverpool City Council,Liverpool City Council
Leeds City Council,Liverpool City Council
Leicestershire County Council,Liverpool City Council
Lancaster City Council,Liverpool City Council
Leicester City Council,Liverpool City Council
Lancashire County Council,Liverpool City Council
Lincolnshire County Council,Liverpool City Council
Wolverhampton City Council,Wolverhampton City Council
Warwickshire County Council,Wolverhampton City Council
Worcester City Council,Wolverhampton City Council
Worcestershire County Council,Wolverhampton City Council
Westminster City Council,Wolverhampton City Council
Hedge End Town Council,Hedge End Town Council
Hull City Council,Hull City Council
HAMPSHIRE COUNTY COUNCIL,Hull City Council
Hampshire County Council,Hull City Council
National Highways Limited,National Highways Limited
NY HIGHWAYS LIMITED,National Highways Limited
London Borough of Wandsworth,London Borough of Wandsworth
Blackburn with Darwen,Blackburn with Darwen
University Of Worcester,University Of Worcester
Lincolnshire Partnership NHS Foundation Trust,Lincolnshire Partnership NHS Foundation Trust
YOUR HOUSING GROUP LIMITED,YOUR HOUSING GROUP LIMITED
DERBY CITY COUNCIL,DERBY CITY COUNCIL
Derbyshire County Council,DERBY CITY COUNCIL
Durham County Council,DERBY CITY COUNCIL
Nuclear Restoration Services,NRS
NRS,NRS
Nuclear Restoration Services Ltd,Nuclear Restoration Services Ltd
Nuclear Restoration Services Limited,Nuclear Restoration Services Ltd
Homes England (the name adopted by the Homes and Communities Agency),Homes England (the name adopted by the Homes and Communities Agency)
Herefordshire Council,Herefordshire Council
Harrow Council,Herefordshire Council
Barnsley Metropolitan Borough Council,Barnsley Metropolitan Borough Council
The Royal Parks Ltd,The Royal Parks Ltd
ORBIT GROUP LIMITED,ORBIT GROUP LIMITED
BALFOUR BEATTY CIVIL ENGINEERING LIMITED,BALFOUR BEATTY CIVIL ENGINEERING LIMITED
The North Yorkshire Council,The North Yorkshire Council
St.Helens Council,St.Helens Council
Sizewell C,St.Helens Council
Shropshire Council,St.Helens Council
North Somerset Council,North Somerset Council
"Newry, Mourne and Down District Council (NMD)","Newry, Mourne and Down District Council (NMD)"
KIER TRANSPORTATION LIMITED,KIER TRANSPORTATION LIMITED
West Northamptonshire Council,West Northamptonshire Council
Exeter City Council,Exeter City Council
ESSEX COUNTY COUNCIL,Exeter City Council
Buckingham Town Council,Buckingham Town Council
Bridgnorth Town Council,Buckingham Town Council
Bolsover Town Council,Buckingham Town Council
St. Paul's Catholic School,St. Paul's Catholic School
LONGWICK CUM ILMER PARISH COUNCIL,LONGWICK CUM ILMER PARISH COUNCIL
TEES VALLEY COMBINED AUTHORITY,TEES VALLEY COMBINED AUTHORITY
Tees Valley Combined Authority,TEES VALLEY COMBINED AUTHORITY
National Highways,National Highways
EU SUPPLY LIMITED,EU SUPPLY LIMITED
Rotherham Metropolitan Borough Council,Rotherham Metropolitan Borough Council
Rochdale Metropolitan Borough Council,Rotherham Metropolitan Borough Council
Redcar & Cleveland Borough Council,Redcar & Cleveland Borough Council
Defra Group Commercial,DgC
DgC,DgC
Defra group Commercial,DgC
defra,defra
DEFRA,defra
Defra,defra
MINING REMEDIATION AUTHORITY,MINING REMEDIATION AUTHORITY
Bristol City Council,Bristol City Council
Birmingham City Council,Bristol City Council
Cambridgeshire County Council,Cambridgeshire County Council
Colchester City Council,Cambridgeshire County Council
Canterbury City Council,Cambridgeshire County Council
Cambridge City Council,Cambridgeshire County Council
COVENTRY CITY COUNCIL,Cambridgeshire County Council
Chelmsford City Council,Cambridgeshire County Council
Basildon Borough Council,Basildon Borough Council
Burnley Borough Council,Basildon Borough Council
Broxtowe Borough Council,Basildon Borough Council
Bedford Borough Council,Basildon Borough Council
Central Bedfordshire Council,Central Bedfordshire Council
North East Derbyshire District Council - e-Tendering System,North East Derbyshire District Council - e-Tendering System
Medicines and Healthcare Products Regulatory Agency,Medicines and Healthcare Products Regulatory Agency
Medicines and Healthcare products Regulatory Agency,Medicines and Healthcare Products Regulatory Agency
